Ticker,Date,Sales,NetProfit,Borrowings,Equity,Reserves
HDFC AMC,2016-03-31,1490.13,477.88,,25.16,1126.06
HDFC AMC,2017-03-31,1568.2,550.25,,25.17,1397.77
HDFC AMC,2018-03-31,1869.74,711.29,,105.28,2148.63
HDFC AMC,2019-03-31,2074.8,930.6,,106.29,2964.43
HDFC AMC,2020-03-31,2124.47,1262.41,,106.4,3922.86
HDFC AMC,2021-03-31,2194.02,1325.76,,106.48,4669.7
HDFC AMC,2022-03-31,2428.72,1393.13,,106.64,5423.4
HDFC AMC,2023-03-31,2478.28,1423.92,,106.71,6001.7
HDFC AMC,2024-03-31,3158.72,1945.88,,106.74,6972.33
HDFC AMC,2025-03-31,4049.61,2461.05,,106.9,8027.24
Jai Balaji Inds,2016-03-31,1220.13,-689.8,3527.67,77.78,-955.27
Jai Balaji Inds,2017-03-31,1701.91,-255.7,3601.93,86.28,-1321.89
Jai Balaji Inds,2018-03-31,2389.33,-256.66,3510.38,96.38,-1523.07
Jai Balaji Inds,2019-03-31,3077.47,-153.68,3638.41,96.38,-1676.33
Jai Balaji Inds,2020-03-31,2912.3,-114.34,3463.94,110.45,-1768.36
Jai Balaji Inds,2021-03-31,2785.18,-75.82,3433.6,110.45,-1843.53
Jai Balaji Inds,2022-03-31,4692.5,48.06,3169.28,110.45,-1773.29
Jai Balaji Inds,2023-03-31,6125.07,57.82,860.37,145.45,410.63
Jai Balaji Inds,2024-03-31,6413.78,879.56,472.53,163.65,1340.47
Jai Balaji Inds,2025-03-31,6350.8,557.88,558.65,182.45,1942.39
BLS Internat,2016-03-31,504.96,30.89,5.68,10.25,108.5
BLS Internat,2017-03-31,634.89,50.08,95.41,10.25,155.43
BLS Internat,2018-03-31,789.05,96.54,107.84,10.25,250.3
BLS Internat,2019-03-31,803.83,105.22,37.51,10.25,361.8
BLS Internat,2020-03-31,786.14,52.43,0.88,10.25,418.21
BLS Internat,2021-03-31,478.37,50.15,0.73,10.25,449.57
BLS Internat,2022-03-31,849.89,111.27,11.16,10.25,559.54
BLS Internat,2023-03-31,1516.19,200.76,6.53,41.08,761.77
BLS Internat,2024-03-31,1676.81,312.97,30.6,41.17,1166.46
BLS Internat,2025-03-31,2193.3,508.23,359.06,41.17,1689.66
C D S L,2016-03-31,122.85,91.0,,104.5,374.82
C D S L,2017-03-31,146.0,85.78,,104.5,428.82
C D S L,2018-03-31,187.69,103.18,,104.5,494.25
C D S L,2019-03-31,196.25,113.51,,104.5,563.64
C D S L,2020-03-31,225.11,106.16,,104.5,619.49
C D S L,2021-03-31,343.72,200.34,,104.5,772.72
C D S L,2022-03-31,551.33,311.18,0.29,104.5,988.42
C D S L,2023-03-31,555.09,275.94,2.37,104.5,1109.23
C D S L,2024-03-31,812.26,419.11,1.36,104.5,1358.84
C D S L,2025-03-31,1082.21,526.64,2.98,209.0,1551.34
Tanfac Inds,2016-03-31,133.32,0.4,61.0,9.98,-9.92
Tanfac Inds,2017-03-31,126.39,3.29,53.9,9.98,-6.72
Tanfac Inds,2018-03-31,161.88,9.68,43.45,9.98,2.66
Tanfac Inds,2019-03-31,221.71,35.97,11.79,9.98,38.05
Tanfac Inds,2020-03-31,164.8,16.97,0.4,9.98,55.22
Tanfac Inds,2021-03-31,147.9,17.47,,9.98,73.26
Tanfac Inds,2022-03-31,320.17,53.28,,9.98,123.72
Tanfac Inds,2023-03-31,374.95,56.13,,9.98,174.3
Tanfac Inds,2024-03-31,378.15,52.48,,9.98,220.47
Tanfac Inds,2025-03-31,556.98,88.15,41.43,9.98,302.0
RRP Defense,2016-03-31,0.92,0.02,0.13,2.38,-1.99
RRP Defense,2017-03-31,0.97,0.02,,2.38,-1.97
RRP Defense,2018-03-31,1.12,0.01,0.27,2.38,-1.96
RRP Defense,2019-03-31,4.18,0.01,0.4,2.38,-1.95
RRP Defense,2020-03-31,0.81,-0.01,0.64,2.38,-1.96
RRP Defense,2021-03-31,1.77,,0.32,2.38,-1.96
RRP Defense,2022-03-31,0.36,0.02,0.46,2.38,-1.93
RRP Defense,2023-03-31,0.26,0.02,0.15,1.57,-1.11
RRP Defense,2024-03-31,12.51,0.02,,1.57,-1.08
RRP Defense,2025-03-31,10.45,1.14,1.2,1.57,0.56
Indiamart Inter,2016-03-31,254.29,-115.91,66.22,9.17,-152.69
Indiamart Inter,2017-03-31,317.76,-64.35,,9.17,-399.22
Indiamart Inter,2018-03-31,410.51,54.76,,9.98,-331.25
Indiamart Inter,2019-03-31,507.42,20.04,,28.59,131.3
Indiamart Inter,2020-03-31,638.85,147.38,76.51,28.88,246.18
Indiamart Inter,2021-03-31,669.56,279.77,63.42,30.32,1580.57
Indiamart Inter,2022-03-31,753.49,297.62,56.28,30.55,1843.5
Indiamart Inter,2023-03-31,985.4,283.83,45.91,30.58,2027.91
