Ticker,Moat_Score
3B_Blackbio,17.49
Action_Const.Eq,19.09
Apar_Inds,16.92
Ashoka_Buildcon,14.66
Astrazeneca_Phar,20.32
BLS_Internat,21.62
BSE,-3.93
Bharat_Electron,18.82
Blue_Star,15.17
C_D_S_L,21.56
Cams_Services,20.66
Caplin_Point_Lab,19.1
Dr_Lal_Pathlabs,17.1
Dynacons_Sys,22.39
Dynamic_Cables,16.32
Frontier_Springs,22.75
Ganesh_Housing,18.87
HDFC_AMC,13.84
I_R_C_T_C,23.47
Indiamart_Inter,13.8
Indo_Tech.Trans,19.39
J_B_Chemicals_&,15.27
Jai_Balaji_Inds,13.03
Jyoti_Resins,25.69
KNR_Construct,16.22
Kingfa_Science,18.41
Kirl.Pneumatic,15.3
Macpower_CNC,17.37
Master_Trust,13.39
Mazagon_Dock,13.16
Monarch_Networth,23.65
Newgen_Software,17.89
Persistent_Systems,18.48
Polycab_India,18.4
Prec._Wires_(I),16.59
RRP_Defense,26.44
Radhika_Jeweltec,16.84
Schaeffler_India,17.05
Shakti_Pumps,22.28
Shanthi_Gears,13.2
Sharda_Motor,19.56
Shilchar_Tech,23.01
Sika_Interplant,17.83
Solar_Industries,20.65
Steelcast,17.28
Stylam_Industrie,17.02
Swaraj_Engines,21.93
Systematix_Corp,17.14
Tanfac_Inds,19.5
Tata_Elxsi,19.04
Timex_Group,17.68
Volt.Transform,16.55
